"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3380076,3303000
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",250995,323
"06","Buenos Aires","Cansino Ad5 nCoV",8389,0
"06","Buenos Aires","Moderna ARNm",249812,870885
"06","Buenos Aires","Pfizer BioNTech Comirnaty",74263,0
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",3540470,2836587
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",3993343,1922181
"02","CABA","AstraZeneca ChAdOx1 S recombinante",661644,672743
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65221,183
"02","CABA","Cansino Ad5 nCoV",24952,0
"02","CABA","Moderna ARNm",19116,241435
"02","CABA","Pfizer BioNTech Comirnaty",12475,14823
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",676966,603350
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",882918,420524
"02","CABA","Vacuna COVID Estudios Clínicos",4617,3548
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",84656,64389
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4746,4
"10","Catamarca","Cansino Ad5 nCoV",834,0
"10","Catamarca","Moderna ARNm",5999,19317
"10","Catamarca","Pfizer BioNTech Comirnaty",1151,5
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",108881,72205
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",93577,47630
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",224257,165982
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15355,600
"22","Chaco","Cansino Ad5 nCoV",10,0
"22","Chaco","Moderna ARNm",22831,45431
"22","Chaco","Pfizer BioNTech Comirnaty",2423,18
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",215825,138492
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",237208,117791
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",120074,101259
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11739,614
"26","Chubut","Cansino Ad5 nCoV",15,0
"26","Chubut","Moderna ARNm",13402,22756
"26","Chubut","Pfizer BioNTech Comirnaty",1896,1
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",103679,77720
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",130048,69154
