"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3359339,2630650
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",250982,320
"06","Buenos Aires","Moderna ARNm",183320,807232
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",3474999,2443521
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",3894673,1405670
"02","CABA","AstraZeneca ChAdOx1 S recombinante",658855,587714
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65233,183
"02","CABA","Cansino Ad5 nCoV",15832,0
"02","CABA","Moderna ARNm",18237,237772
"02","CABA","Pfizer BioNTech Comirnaty",0,2290
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",625968,544783
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",864801,376230
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",84257,50509
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4744,4
"10","Catamarca","Moderna ARNm",4786,17880
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",107063,41106
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",92071,39288
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",219165,144192
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15342,590
"22","Chaco","Moderna ARNm",20722,34183
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",200696,120066
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",230723,90144
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",119730,85389
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11732,613
"26","Chubut","Moderna ARNm",6344,18391
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",100147,70924
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",127592,55172
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",169244,118109
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19675,390
"18","Corrientes","Moderna ARNm",21298,39760
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",244025,136309
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",237836,86195
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",755071,581618
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",43702,70
"14","Córdoba","Cansino Ad5 nCoV",296,0
"14","Córdoba","Moderna ARNm",20802,211274
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",749263,625374
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",863234,370324
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",264011,172516
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",17194,331
"30","Entre Ríos","Moderna ARNm",8831,50441
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",281322,187428
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",285192,111307
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",116744,92451
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7347,1
"34","Formosa","Moderna ARNm",35894,3585
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",136052,103802
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",127551,54799
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",158536,102662
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",13971,286
"38","Jujuy","Moderna ARNm",10730,14363
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",164306,88338
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",151677,73922
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",66412,66995
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4567,0
"42","La Pampa","Cansino Ad5 nCoV",1481,0
"42","La Pampa","Moderna ARNm",3883,23255
"42","La Pampa","Pfizer BioNTech Comirnaty",429,0
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",79601,71552
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",84520,39955
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",74326,56652
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",7204,108
"46","La Rioja","Cansino Ad5 nCoV",4,0
"46","La Rioja","Moderna ARNm",8507,21350
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",84251,69220
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",91587,39644
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",396101,303227
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",25176,406
"50","Mendoza","Moderna ARNm",8615,107571
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",348509,244003
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",430030,181947
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",203241,162748
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",16590,790
"54","Misiones","Moderna ARNm",31074,28212
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",166982,91612
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",222575,85326
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",135766,95886
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",12761,58
"58","Neuquén","Cansino Ad5 nCoV",121,0
"58","Neuquén","Moderna ARNm",10024,32952
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",137571,105041
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",149003,67254
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",138190,113284
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",13962,89
"62","Río Negro","Moderna ARNm",6330,39577
"62","Río Negro","Pfizer BioNTech Comirnaty",48,0
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",171763,121932
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",164553,72634
"66","Salta","AstraZeneca ChAdOx1 S recombinante",288313,170482
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",17832,52
"66","Salta","Moderna ARNm",13257,52872
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",196154,108645
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",281733,117974
"70","San Juan","AstraZeneca ChAdOx1 S recombinante",144138,125263
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",8809,12
"70","San Juan","Moderna ARNm",10177,30986
"70","San Juan","Pfizer BioNTech Comirnaty",255,1
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",146369,126450
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",186240,73694
"74","San Luis","AstraZeneca ChAdOx1 S recombinante",97070,90005
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",6830,0
"74","San Luis","Cansino Ad5 nCoV",49,0
"74","San Luis","Moderna ARNm",6646,25999
"74","San Luis","Pfizer BioNTech Comirnaty",1150,0
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",104042,99929
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",117450,50565
"78","Santa Cruz","AstraZeneca ChAdOx1 S recombinante",55770,39979
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",5908,713
"78","Santa Cruz","Moderna ARNm",2692,11472
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",56184,44827
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",84454,34599
"82","Santa Fe","AstraZeneca ChAdOx1 S recombinante",738627,564631
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",41213,52
"82","Santa Fe","Moderna ARNm",26861,206247
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",718276,588247
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",836059,331506
"86","Santiago del Estero","AstraZeneca ChAdOx1 S recombinante",202700,141043
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",11847,1141
"86","Santiago del Estero","Moderna ARNm",5576,53658
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",229038,153293
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",209225,82975
"94","Tierra del Fuego","AstraZeneca ChAdOx1 S recombinante",31944,29037
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",2724,748
"94","Tierra del Fuego","Moderna ARNm",792,10445
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",35024,28931
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",41615,18229
"90","Tucumán","AstraZeneca ChAdOx1 S recombinante",289397,253408
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",20535,57
"90","Tucumán","Moderna ARNm",8804,66374
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",314338,223143
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",376735,149569
