"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3647213,4021035,833246,1111448
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251396,381,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",89108,0,6295,1527,60947
"06","Buenos Aires","Moderna ARNm",0,405554,1201082,3186,2108798
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1367719,1440774,77648,5224375
"06","Buenos Aires","Pfizer Pediátrica",0,16232,5965,51077,0
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5933134,5221461,1663,7967
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4314806,2690987,6261,811447
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,726687,760940,204651,468223
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65530,190,0,0
"02","CABA","Cansino Ad5 nCoV",29636,0,1444,45,48509
"02","CABA","Moderna ARNm",0,27136,265162,1491,798530
"02","CABA","Pfizer BioNTech Comirnaty",0,192154,218111,62906,1229966
"02","CABA","Pfizer Pediátrica",0,1842,1086,665,7259
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1013027,957757,1679,4929
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,895820,626470,232,7788
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86629,86468,18029,58289
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4820,10,0,0
"10","Catamarca","Cansino Ad5 nCoV",2533,0,981,328,45954
"10","Catamarca","Moderna ARNm",0,7541,23626,403,50650
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33508,30528,863,69105
"10","Catamarca","Pfizer Pediátrica",0,9,19,16,5853
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,170426,155068,43,411
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96735,73552,1649,23233
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,239712,219550,29278,89558
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15536,774,0,0
"22","Chaco","Cansino Ad5 nCoV",10799,0,590,212,15150
"22","Chaco","Moderna ARNm",0,29677,66136,1400,72473
"22","Chaco","Pfizer BioNTech Comirnaty",0,67917,56114,7795,135516
"22","Chaco","Pfizer Pediátrica",0,509,114,44,688
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,387224,303392,444,2371
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,257956,181238,4471,52326
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132716,128486,20534,44318
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11921,659,0,0
"26","Chubut","Cansino Ad5 nCoV",3314,0,249,52,3933
"26","Chubut","Moderna ARNm",0,20266,32370,1218,38429
"26","Chubut","Pfizer BioNTech Comirnaty",0,32910,38938,4521,121087
"26","Chubut","Pfizer Pediátrica",0,326,96,3,534
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,172343,139860,175,574
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,136757,100095,906,14644
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,193845,185202,17689,138647
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19884,477,0,0
"18","Corrientes","Cansino Ad5 nCoV",10561,0,234,71,32267
"18","Corrientes","Moderna ARNm",0,27290,59771,393,84682
"18","Corrientes","Pfizer BioNTech Comirnaty",0,82886,79662,1794,215266
"18","Corrientes","Pfizer Pediátrica",0,113,20,9,11286
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,425600,359922,66,1527
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,268230,193525,16,33771
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",0,808929,824183,184149,648501
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",0,44131,128,0,0
"14","Córdoba","Cansino Ad5 nCoV",38057,0,5672,32,10874
"14","Córdoba","Moderna ARNm",0,44744,259280,36,403437
"14","Córdoba","Pfizer BioNTech Comirnaty",0,282399,255162,16587,686082
"14","Córdoba","Pfizer Pediátrica",0,1384,706,70,7805
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",0,1249084,1129673,518,7910
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",0,939811,627326,4076,96278
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",0,291830,286884,72094,175295
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",0,17373,365,0,0
"30","Entre Ríos","Cansino Ad5 nCoV",13909,0,470,14,4382
"30","Entre Ríos","Moderna ARNm",0,23251,84611,217,125675
"30","Entre Ríos","Pfizer BioNTech Comirnaty",0,97694,85390,7715,228877
"30","Entre Ríos","Pfizer Pediátrica",0,140,54,14,3362
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",0,481667,424083,304,1123
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",0,324937,232978,3782,79542
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",0,129359,156103,231069,75667
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",0,7385,8,0,0
"34","Formosa","Cansino Ad5 nCoV",7135,0,0,13,2302
"34","Formosa","Moderna ARNm",0,40141,7907,155,43678
"34","Formosa","Pfizer BioNTech Comirnaty",0,26456,55839,21471,73888
"34","Formosa","Pfizer Pediátrica",0,14,43,67,6928
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",0,234420,208356,372,444
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",0,138054,89130,2986,7580
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",0,165267,158960,31956,52009
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",0,14031,291,0,0
"38","Jujuy","Cansino Ad5 nCoV",1477,0,1506,35,27434
"38","Jujuy","Moderna ARNm",0,25220,37199,1542,36447
"38","Jujuy","Pfizer BioNTech Comirnaty",0,57671,71220,14714,144565
"38","Jujuy","Pfizer Pediátrica",0,2128,371,47,1917
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",0,277072,214993,439,966
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",0,154310,125450,12807,38767
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",0,69240,76493,37279,44450
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",0,4579,0,0,0
"42","La Pampa","Cansino Ad5 nCoV",2889,0,0,0,2818
