"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",150873,0
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",86193,0
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",258038,135396
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",49057,252
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",7668,16
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",83057,37857
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",2790,0
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",2623,1
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",7497,3852
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",11514,13
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",2225,1
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",17553,8359
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",4995,1
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",1092,0
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",8952,3899
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",8509,1
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",1056,0
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",15671,7684
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",40817,0
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",26082,0
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",52691,25146
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",9742,0
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",348,0
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",20595,10915
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",5299,0
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",3550,0
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",8155,3567
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",8398,0
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",1270,1
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",13000,6722
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4315,0
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",4647,0
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",6899,3719
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",4393,2
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",1333,0
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",7417,4208
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",7759,2
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",685,0
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",28733,11933
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",12699,23
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",6229,6
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",10930,5242
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",5816,0
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",3777,0
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",12024,4689
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",8056,0
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",2224,0
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",12543,5939
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",15913,0
"66","Salta","Sinopharm Vacuna SARSCOV 2 inactivada",5052,1
"66","Salta","Sputnik V COVID19 Instituto Gamaleya",21057,9347
"70","San Juan","COVISHIELD ChAdOx1nCoV COVID 19",5868,0
"70","San Juan","Sinopharm Vacuna SARSCOV 2 inactivada",3212,0
"70","San Juan","Sputnik V COVID19 Instituto Gamaleya",11194,5353
"74","San Luis","COVISHIELD ChAdOx1nCoV COVID 19",4825,0
"74","San Luis","Sinopharm Vacuna SARSCOV 2 inactivada",4678,0
"74","San Luis","Sputnik V COVID19 Instituto Gamaleya",9967,4817
"78","Santa Cruz","COVISHIELD ChAdOx1nCoV COVID 19",3379,1
"78","Santa Cruz","Sinopharm Vacuna SARSCOV 2 inactivada",1325,0
"78","Santa Cruz","Sputnik V COVID19 Instituto Gamaleya",6525,3621
"82","Santa Fe","COVISHIELD ChAdOx1nCoV COVID 19",23127,14
"82","Santa Fe","Sinopharm Vacuna SARSCOV 2 inactivada",8478,3
"82","Santa Fe","Sputnik V COVID19 Instituto Gamaleya",53310,25751
"86","Santiago del Estero","COVISHIELD ChAdOx1nCoV COVID 19",9332,0
"86","Santiago del Estero","Sinopharm Vacuna SARSCOV 2 inactivada",3913,0
"86","Santiago del Estero","Sputnik V COVID19 Instituto Gamaleya",11621,5662
"94","Tierra del Fuego","COVISHIELD ChAdOx1nCoV COVID 19",1310,0
"94","Tierra del Fuego","Sinopharm Vacuna SARSCOV 2 inactivada",320,0
"94","Tierra del Fuego","Sputnik V COVID19 Instituto Gamaleya",3092,1803
"90","Tucumán","COVISHIELD ChAdOx1nCoV COVID 19",16180,0
"90","Tucumán","Sinopharm Vacuna SARSCOV 2 inactivada",4145,0
"90","Tucumán","Sputnik V COVID19 Instituto Gamaleya",24175,11351
