"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648234,4022188,832909,1120956
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251405,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90287,0,7727,1530,110236
"06","Buenos Aires","Moderna ARNm",0,421868,1250274,3185,3333940
"06","Buenos Aires","Moderna Pediátrica",0,24044,5707,0,6546
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1371009,1446698,77617,5295845
"06","Buenos Aires","Pfizer Pediátrica",0,19594,8727,125892,2
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5953182,5262962,1662,10752
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315665,2693004,6256,855967
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728065,762506,204579,506090
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65659,197,0,0
"02","CABA","Cansino Ad5 nCoV",29908,0,1667,44,50954
"02","CABA","Moderna ARNm",0,32868,275833,1490,1517990
"02","CABA","Moderna Pediátrica",0,6339,2418,0,12402
"02","CABA","Pfizer BioNTech Comirnaty",0,193133,219713,62882,1267503
"02","CABA","Pfizer Pediátrica",0,2445,1907,1568,84953
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018528,966087,1667,5260
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896587,627406,231,13844
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86654,86551,18029,59269
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4820,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2580,0,1032,328,47764
"10","Catamarca","Moderna ARNm",0,7671,24127,403,99315
"10","Catamarca","Moderna Pediátrica",0,3462,888,0,3841
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33552,30713,863,83067
"10","Catamarca","Pfizer Pediátrica",0,33,55,41,14069
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171182,156735,43,550
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96762,73642,1649,28945
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240227,220268,29270,91803
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15544,779,0,0
"22","Chaco","Cansino Ad5 nCoV",11277,0,818,212,21020
"22","Chaco","Moderna ARNm",0,31028,68954,1400,127122
"22","Chaco","Moderna Pediátrica",0,2576,557,0,2203
"22","Chaco","Pfizer BioNTech Comirnaty",0,68696,57524,7795,145153
"22","Chaco","Pfizer Pediátrica",0,747,270,220,3542
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,391074,310609,445,3114
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,258236,181779,4471,54499
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132836,128694,20527,45751
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11933,661,0,0
