"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",2735699,608665
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",250467,308
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",969067,656653
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",3074653,549586
"02","CABA","AstraZeneca ChAdOx1 S recombinante",582160,134518
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65360,186
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",268823,136387
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",700508,167696
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",56468,9561
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4514,1
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",34134,19636
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",67911,15819
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",174427,26718
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15251,550
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",92189,48654
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",186755,38057
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",95596,11260
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11664,609
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",56369,29681
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",95698,19543
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",128040,37645
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19556,390
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",93860,49559
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",177463,36549
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",628441,117885
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",43988,89
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",293056,141053
