"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3421072,3725820
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",251027,325
"06","Buenos Aires","Cansino Ad5 nCoV",20945,0
"06","Buenos Aires","Moderna ARNm",318948,977230
"06","Buenos Aires","Pfizer BioNTech Comirnaty",692520,119606
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",4482435,3080188
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",4123825,2314110
"02","CABA","AstraZeneca ChAdOx1 S recombinante",680147,702256
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65378,183
"02","CABA","Cansino Ad5 nCoV",25944,0
"02","CABA","Moderna ARNm",19278,245268
"02","CABA","Pfizer BioNTech Comirnaty",134586,33498
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",811178,648087
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",891698,554831
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",84972,78409
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4752,4
"10","Catamarca","Cansino Ad5 nCoV",1071,0
"10","Catamarca","Moderna ARNm",7132,20537
"10","Catamarca","Pfizer BioNTech Comirnaty",16700,34
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",126882,90253
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",94402,59077
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",227163,181005
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15363,606
"22","Chaco","Cansino Ad5 nCoV",926,0
"22","Chaco","Moderna ARNm",25108,50872
"22","Chaco","Pfizer BioNTech Comirnaty",22266,1330
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",261555,156011
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",243444,139547
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",122602,112965
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11743,617
"26","Chubut","Cansino Ad5 nCoV",50,0
"26","Chubut","Moderna ARNm",17952,26366
"26","Chubut","Pfizer BioNTech Comirnaty",13384,1050
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",122318,85403
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",132479,83335
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",179580,148308
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19699,397
"18","Corrientes","Cansino Ad5 nCoV",3505,0
"18","Corrientes","Moderna ARNm",24769,51779
"18","Corrientes","Pfizer BioNTech Comirnaty",27803,829
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",311875,182522
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",248129,129258
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",778148,755448
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",44073,81
"14","Córdoba","Cansino Ad5 nCoV",11394,200
"14","Córdoba","Moderna ARNm",41211,242752
"14","Córdoba","Pfizer BioNTech Comirnaty",181713,12987
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",1018852,697263
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",883590,546672
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",277992,241335
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",17240,331
"30","Entre Ríos","Cansino Ad5 nCoV",5914,0
"30","Entre Ríos","Moderna ARNm",20343,68272
"30","Entre Ríos","Pfizer BioNTech Comirnaty",37664,501
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",318509,246138
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",305126,165666
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",117628,132808
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7347,1
"34","Formosa","Cansino Ad5 nCoV",307,0
"34","Formosa","Moderna ARNm",38857,4914
"34","Formosa","Pfizer BioNTech Comirnaty",15654,18945
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",180307,118283
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",132529,74796
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",160691,134025
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",13972,286
"38","Jujuy","Cansino Ad5 nCoV",43,0
"38","Jujuy","Moderna ARNm",21237,24590
"38","Jujuy","Pfizer BioNTech Comirnaty",21943,992
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",200663,115710
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",152847,111618
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",67899,74070
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4573,0
"42","La Pampa","Cansino Ad5 nCoV",2548,0
"42","La Pampa","Moderna ARNm",4857,24673
"42","La Pampa","Pfizer BioNTech Comirnaty",22016,2149
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",115301,82928
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",86973,54497
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",76927,73610
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",7204,110
"46","La Rioja","Cansino Ad5 nCoV",2076,0
"46","La Rioja","Moderna ARNm",9038,23351
"46","La Rioja","Pfizer BioNTech Comirnaty",20265,2304
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",116740,74362
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",92715,60880
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",407506,364816
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",25237,410
"50","Mendoza","Cansino Ad5 nCoV",3743,1
"50","Mendoza","Moderna ARNm",23194,125385
"50","Mendoza","Pfizer BioNTech Comirnaty",94881,15321
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",376811,290702
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",454535,251300
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",211983,206225
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",16681,791
