"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3381674,3324739
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",250997,323
"06","Buenos Aires","Cansino Ad5 nCoV",9031,0
"06","Buenos Aires","Moderna ARNm",250614,871206
"06","Buenos Aires","Pfizer BioNTech Comirnaty",74648,0
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",3546965,2886969
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",4001323,1940193
"02","CABA","AstraZeneca ChAdOx1 S recombinante",661888,674505
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65223,183
"02","CABA","Cansino Ad5 nCoV",25052,0
"02","CABA","Moderna ARNm",19122,241444
"02","CABA","Pfizer BioNTech Comirnaty",12475,14823
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",678678,603839
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",886364,421459
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",84662,64769
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4746,4
"10","Catamarca","Cansino Ad5 nCoV",874,0
"10","Catamarca","Moderna ARNm",6014,19340
"10","Catamarca","Pfizer BioNTech Comirnaty",1151,5
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",108976,73169
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",93590,47690
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",224401,167116
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15355,601
"22","Chaco","Cansino Ad5 nCoV",17,0
"22","Chaco","Moderna ARNm",22878,45941
"22","Chaco","Pfizer BioNTech Comirnaty",2649,19
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",216454,139868
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",237550,119347
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",120098,101725
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11739,614
"26","Chubut","Cansino Ad5 nCoV",21,0
"26","Chubut","Moderna ARNm",13838,22906
"26","Chubut","Pfizer BioNTech Comirnaty",3161,3
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",103881,78035
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",130312,69696
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",173708,131423
