"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3436259,3755025
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",251032,325
"06","Buenos Aires","Cansino Ad5 nCoV",24791,0
"06","Buenos Aires","Moderna ARNm",325835,994766
"06","Buenos Aires","Pfizer BioNTech Comirnaty",824695,225722
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",4791724,3354751
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",4140173,2349921
"02","CABA","AstraZeneca ChAdOx1 S recombinante",683913,705394
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65385,183
"02","CABA","Cansino Ad5 nCoV",26041,0
"02","CABA","Moderna ARNm",19309,246709
"02","CABA","Pfizer BioNTech Comirnaty",146163,84228
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",849084,660984
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",892168,565414
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",85289,79947
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4752,4
"10","Catamarca","Cansino Ad5 nCoV",1075,0
"10","Catamarca","Moderna ARNm",7241,21062
"10","Catamarca","Pfizer BioNTech Comirnaty",20822,1006
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",133101,92945
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",94649,64453
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",227752,183614
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15367,622
"22","Chaco","Cansino Ad5 nCoV",1237,0
"22","Chaco","Moderna ARNm",25366,51940
"22","Chaco","Pfizer BioNTech Comirnaty",26768,2893
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",273935,160483
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",245007,143233
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",123829,114320
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11746,617
"26","Chubut","Cansino Ad5 nCoV",56,0
"26","Chubut","Moderna ARNm",18100,27603
"26","Chubut","Pfizer BioNTech Comirnaty",16701,3170
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",130117,87075
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",132717,86931
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",180829,153772
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19709,402
"18","Corrientes","Cansino Ad5 nCoV",3986,0
"18","Corrientes","Moderna ARNm",24970,53439
"18","Corrientes","Pfizer BioNTech Comirnaty",42950,886
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",323057,186914
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",249117,139878
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",782349,763184
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",44085,90
"14","Córdoba","Cansino Ad5 nCoV",13824,202
"14","Córdoba","Moderna ARNm",41355,246272
"14","Córdoba","Pfizer BioNTech Comirnaty",208752,24035
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",1078060,723116
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",887740,562057
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",279224,244511
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",17242,331
"30","Entre Ríos","Cansino Ad5 nCoV",6341,0
"30","Entre Ríos","Moderna ARNm",20799,70859
"30","Entre Ríos","Pfizer BioNTech Comirnaty",50165,2588
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",355131,251015
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",307294,175289
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",117798,140105
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7349,5
"34","Formosa","Cansino Ad5 nCoV",493,0
"34","Formosa","Moderna ARNm",38895,4926
"34","Formosa","Pfizer BioNTech Comirnaty",17588,29240
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",188575,119883
