"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648096,4022056,832921,1120845
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251403,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90180,0,7689,1530,106563
"06","Buenos Aires","Moderna ARNm",0,419518,1243619,3185,3215111
"06","Buenos Aires","Moderna Pediátrica",0,8263,1168,0,2248
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1370037,1444668,77619,5270481
"06","Buenos Aires","Pfizer Pediátrica",0,19200,8406,120427,1
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5949540,5256033,1662,10274
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315613,2692727,6256,849739
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728002,762411,204582,505933
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65648,196,0,0
"02","CABA","Cansino Ad5 nCoV",29752,0,1508,44,50373
"02","CABA","Moderna ARNm",0,32024,274569,1490,1487073
"02","CABA","Moderna Pediátrica",0,4742,1460,0,11747
"02","CABA","Pfizer BioNTech Comirnaty",0,192524,218982,62883,1258864
"02","CABA","Pfizer Pediátrica",0,2436,1885,1563,84924
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018385,965744,1668,5232
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896554,627371,231,13600
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86651,86536,18029,59254
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4820,12,0,0
"10","Catamarca","Cansino Ad5 nCoV",2577,0,1015,328,47517
"10","Catamarca","Moderna ARNm",0,7639,24045,403,94618
"10","Catamarca","Moderna Pediátrica",0,2068,175,0,1981
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33544,30701,863,82285
"10","Catamarca","Pfizer Pediátrica",0,30,55,41,13991
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171087,156421,43,533
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96763,73639,1649,28490
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240153,220207,29271,91636
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15544,778,0,0
"22","Chaco","Cansino Ad5 nCoV",11246,0,803,212,20588
"22","Chaco","Moderna ARNm",0,30694,68322,1400,117554
"22","Chaco","Moderna Pediátrica",0,1829,167,0,1418
"22","Chaco","Pfizer BioNTech Comirnaty",0,68555,57260,7795,143915
"22","Chaco","Pfizer Pediátrica",0,713,250,194,3145
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,390529,309287,445,2974
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,258209,181741,4471,54442
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132810,128668,20527,45734
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11932,661,0,0
"26","Chubut","Cansino Ad5 nCoV",3553,0,356,52,5581
"26","Chubut","Moderna ARNm",0,20681,33281,1220,58013
"26","Chubut","Moderna Pediátrica",0,197,12,0,134
"26","Chubut","Pfizer BioNTech Comirnaty",0,33191,39534,4516,129023
"26","Chubut","Pfizer Pediátrica",0,411,159,26,2125
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,172888,141352,174,790
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,136785,100157,905,15164
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,194099,185848,17689,157944
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19885,489,0,0
"18","Corrientes","Cansino Ad5 nCoV",11235,0,270,71,39008
"18","Corrientes","Moderna ARNm",0,27770,61803,393,191609
"18","Corrientes","Moderna Pediátrica",0,5440,498,0,2263
"18","Corrientes","Pfizer BioNTech Comirnaty",0,83240,81116,1794,258545
"18","Corrientes","Pfizer Pediátrica",0,298,214,258,35645
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,428527,367624,66,2412
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,268454,194676,16,47472
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",0,809214,824854,184041,658242
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",0,44130,128,0,0
"14","Córdoba","Cansino Ad5 nCoV",38317,0,5737,33,11261
"14","Córdoba","Moderna ARNm",0,47965,264973,36,630944
"14","Córdoba","Moderna Pediátrica",0,2525,271,0,1640
"14","Córdoba","Pfizer BioNTech Comirnaty",0,283124,257429,16580,706807
"14","Córdoba","Pfizer Pediátrica",0,1601,930,147,20764
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",0,1252687,1137318,516,8393
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",0,939990,627631,4080,98529
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",0,292010,287380,72091,178501
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",0,17379,368,0,0
"30","Entre Ríos","Cansino Ad5 nCoV",14018,0,490,14,5011
"30","Entre Ríos","Moderna ARNm",0,23754,85791,217,188799
"30","Entre Ríos","Moderna Pediátrica",0,1123,142,0,1127
"30","Entre Ríos","Pfizer BioNTech Comirnaty",0,97965,86115,7714,244767
"30","Entre Ríos","Pfizer Pediátrica",0,218,111,46,13889
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",0,483413,428543,304,1453
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",0,325121,233499,3780,86892
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",0,129549,156220,231065,77051
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",0,7391,8,0,0
"34","Formosa","Cansino Ad5 nCoV",7284,0,0,13,4597
"34","Formosa","Moderna ARNm",0,40566,9076,155,108088
"34","Formosa","Moderna Pediátrica",0,2065,215,0,1056
"34","Formosa","Pfizer BioNTech Comirnaty",0,26518,56082,21470,82134
"34","Formosa","Pfizer Pediátrica",0,27,82,112,11289
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",0,235311,210305,372,445
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",0,138019,89192,2986,10069
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",0,165380,159292,31957,52571
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",0,14041,293,0,0
"38","Jujuy","Cansino Ad5 nCoV",1709,0,1669,36,32154
"38","Jujuy","Moderna ARNm",0,26331,41304,1542,124939
"38","Jujuy","Moderna Pediátrica",0,1654,100,0,533
"38","Jujuy","Pfizer BioNTech Comirnaty",0,57974,71866,14714,150747
"38","Jujuy","Pfizer Pediátrica",0,2469,770,157,11201
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",0,278583,218442,439,1271
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",0,154331,125489,12804,38834
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",0,69351,76596,37279,45483
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",0,4585,0,0,0
"42","La Pampa","Cansino Ad5 nCoV",2903,0,0,0,3213
"42","La Pampa","Moderna ARNm",0,6261,26048,0,94446
"42","La Pampa","Moderna Pediátrica",0,301,50,0,1362
"42","La Pampa","Pfizer BioNTech Comirnaty",0,27718,27376,4686,140068
"42","La Pampa","Pfizer Pediátrica",0,194,109,0,5664
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",0,135984,130844,0,7
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",0,89536,61993,330,20066
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",0,78764,79546,21300,30475
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",0,7269,125,0,0
"46","La Rioja","Cansino Ad5 nCoV",3152,0,50,0,4379
"46","La Rioja","Moderna ARNm",0,10396,26728,1892,75255
"46","La Rioja","Moderna Pediátrica",0,607,39,0,489
"46","La Rioja","Pfizer BioNTech Comirnaty",0,30314,35325,10362,103497
"46","La Rioja","Pfizer Pediátrica",0,51,50,423,5585
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",0,140554,125999,56,422
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",0,95097,70052,4327,29041
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",0,441992,432088,43465,289042
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",0,25667,470,0,0
"50","Mendoza","Cansino Ad5 nCoV",11479,0,1788,52,40888
"50","Mendoza","Moderna ARNm",0,30217,142572,185,213121
"50","Mendoza","Moderna Pediátrica",0,2757,278,0,3062
"50","Mendoza","Pfizer BioNTech Comirnaty",0,151530,152906,6847,389479
"50","Mendoza","Pfizer Pediátrica",0,3903,844,40,16974
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",0,614287,524204,297,2147
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",0,473471,300937,3161,119478
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",0,227921,241842,87981,62753
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",0,16858,819,0,0
"54","Misiones","Cansino Ad5 nCoV",7619,0,97,49,753
"54","Misiones","Moderna ARNm",0,42785,55601,1049,19051
"54","Misiones","Moderna Pediátrica",0,914,66,0,231
"54","Misiones","Pfizer BioNTech Comirnaty",0,61019,62027,15127,133757
"54","Misiones","Pfizer Pediátrica",0,1910,555,141,1712
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",0,348609,275484,1081,5087
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",0,257822,175360,27761,52586
