"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3621685,3991332,834172,923409
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251110,347,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",53080,0,0,1487,8800
"06","Buenos Aires","Moderna ARNm",0,337607,1019158,3186,4906
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1078526,870633,73633,699256
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5471383,4484197,1674,1370
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4174396,2565052,5890,7883
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,710251,735053,201691,253283
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65473,183,0,0
"02","CABA","Cansino Ad5 nCoV",26334,0,0,38,38
"02","CABA","Moderna ARNm",0,19369,248531,100,74
"02","CABA","Pfizer BioNTech Comirnaty",0,173997,170344,59923,172379
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,940518,849446,1527,674
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,894031,606686,239,206
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,85850,83486,16109,17839
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4799,10,0,0
"10","Catamarca","Cansino Ad5 nCoV",1195,0,0,0,0
"10","Catamarca","Moderna ARNm",0,7379,22529,18,200
"10","Catamarca","Pfizer BioNTech Comirnaty",0,31478,20623,33,140
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,164851,132553,40,57
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96199,70347,473,3453
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,234490,204408,26490,39793
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15469,736,0,0
"22","Chaco","Cansino Ad5 nCoV",3932,0,0,42,216
"22","Chaco","Moderna ARNm",0,26334,56818,99,63
"22","Chaco","Pfizer BioNTech Comirnaty",0,48667,27569,5105,32985
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,330009,226560,354,449
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,250866,163513,1198,4171
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,130040,121775,18031,18867
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11842,645,0,0
"26","Chubut","Cansino Ad5 nCoV",398,0,0,15,566
"26","Chubut","Moderna ARNm",0,18575,28939,2,248
"26","Chubut","Pfizer BioNTech Comirnaty",0,24135,20276,1459,13712
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,153204,114161,101,118
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,134398,93965,532,2863
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,185544,167464,15427,69212
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19788,444,0,0
"18","Corrientes","Cansino Ad5 nCoV",5958,0,0,0,4
"18","Corrientes","Moderna ARNm",0,25384,54987,2,31
"18","Corrientes","Pfizer BioNTech Comirnaty",0,64784,41391,0,1175
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,369851,258683,59,219
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,253483,166532,14,20
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",0,800298,793821,171167,336897
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",0,44132,119,0,0
"14","Córdoba","Cansino Ad5 nCoV",23864,0,0,25,227
"14","Córdoba","Moderna ARNm",0,41436,248821,37,91
"14","Córdoba","Pfizer BioNTech Comirnaty",0,247933,192797,9441,32056
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",0,1181749,1018136,523,1781
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",0,916260,602172,1453,3091
