"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",dosis_unica_cantidad,primera_dosis_cantidad,segunda_dosis_cantidad,dosis_adicional_cantidad,dosis_refuerzo_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",0,3648340,4022311,832885,1121076
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",0,251406,382,0,0
"06","Buenos Aires","Cansino Ad5 nCoV",90295,0,7732,1530,110317
"06","Buenos Aires","Moderna ARNm",0,423842,1255586,3185,3913322
"06","Buenos Aires","Moderna Pediátrica",0,29752,9036,0,11174
"06","Buenos Aires","Pfizer BioNTech Comirnaty",0,1371884,1448012,77615,5329819
"06","Buenos Aires","Pfizer Pediátrica",0,19931,9292,131032,2
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",0,5954317,5265043,1662,10974
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",0,4315682,2693032,6256,856201
"02","CABA","AstraZeneca ChAdOx1 S recombinante",0,728246,762840,204575,506473
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",0,65713,197,0,0
"02","CABA","Cansino Ad5 nCoV",29916,0,1670,44,50989
"02","CABA","Moderna ARNm",0,34585,277755,1490,1830108
"02","CABA","Moderna Pediátrica",0,8716,3424,0,13477
"02","CABA","Pfizer BioNTech Comirnaty",0,193167,219766,62880,1271751
"02","CABA","Pfizer Pediátrica",0,2449,1932,1569,84990
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",0,1018768,966550,1667,5305
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",0,896638,627462,231,14021
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",0,86657,86570,18029,59334
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",0,4821,13,0,0
"10","Catamarca","Cansino Ad5 nCoV",2580,0,1032,328,47803
"10","Catamarca","Moderna ARNm",0,7700,24185,403,116413
"10","Catamarca","Moderna Pediátrica",0,4203,1450,0,5026
"10","Catamarca","Pfizer BioNTech Comirnaty",0,33554,30722,863,84998
"10","Catamarca","Pfizer Pediátrica",0,33,56,42,14075
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",0,171221,156934,43,552
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",0,96762,73666,1649,28989
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",0,240362,220343,29270,92145
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",0,15544,779,0,0
"22","Chaco","Cansino Ad5 nCoV",11288,0,820,212,21136
"22","Chaco","Moderna ARNm",0,31333,69462,1400,147263
"22","Chaco","Moderna Pediátrica",0,2923,831,0,2737
"22","Chaco","Pfizer BioNTech Comirnaty",0,68900,57843,7795,152928
"22","Chaco","Pfizer Pediátrica",0,781,296,245,3807
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",0,391470,311531,445,3291
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",0,258262,181855,4471,54616
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",0,132878,128737,20527,45827
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",0,11933,661,0,0
"26","Chubut","Cansino Ad5 nCoV",3584,0,364,52,5762
"26","Chubut","Moderna ARNm",0,20959,33823,1220,75819
"26","Chubut","Moderna Pediátrica",0,312,75,0,237
"26","Chubut","Pfizer BioNTech Comirnaty",0,33327,39872,4516,140414
"26","Chubut","Pfizer Pediátrica",0,455,194,27,2381
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",0,173187,141795,174,872
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",0,136804,100171,905,15175
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",0,194117,185939,17689,160997
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",0,19890,491,0,0
"18","Corrientes","Cansino Ad5 nCoV",11264,0,284,71,40200
"18","Corrientes","Moderna ARNm",0,28114,62804,393,261591
"18","Corrientes","Moderna Pediátrica",0,7702,2039,0,3283
"18","Corrientes","Pfizer BioNTech Comirnaty",0,83288,81219,1794,263055
"18","Corrientes","Pfizer Pediátrica",0,321,221,259,38161
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",0,428789,368717,66,2492
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",0,268494,194777,16,48505
