"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",176166,0
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",225527,0
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",273741,148928
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",53468,255
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",18234,17
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",107383,41532
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",3232,0
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",5423,0
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",8352,4090
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",12929,13
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",6516,3
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",21018,9149
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",5407,1
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",2243,1
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",11825,4047
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",10811,2
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",3188,2
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",18892,7860
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",41018,0
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",43010,0
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",72617,27956
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",13463,2
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",2053,0
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",23441,11059
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",5300,0
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",9589,0
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",8180,3605
