"jurisdiccion_codigo_indec","jurisdiccion_nombre","vacuna_nombre",primera_dosis_cantidad,segunda_dosis_cantidad
"06","Buenos Aires","AstraZeneca ChAdOx1 S recombinante",3451441,3789407
"06","Buenos Aires","COVISHIELD ChAdOx1nCoV COVID 19",251036,327
"06","Buenos Aires","Cansino Ad5 nCoV",26842,0
"06","Buenos Aires","Moderna ARNm",329753,1010496
"06","Buenos Aires","Pfizer BioNTech Comirnaty",854255,464634
"06","Buenos Aires","Sinopharm Vacuna SARSCOV 2 inactivada",4885282,3536063
"06","Buenos Aires","Sputnik V COVID19 Instituto Gamaleya",4148589,2371080
"02","CABA","AstraZeneca ChAdOx1 S recombinante",686958,708394
"02","CABA","COVISHIELD ChAdOx1nCoV COVID 19",65392,182
"02","CABA","Cansino Ad5 nCoV",26112,3
"02","CABA","Moderna ARNm",19340,247471
"02","CABA","Pfizer BioNTech Comirnaty",156495,122322
"02","CABA","Sinopharm Vacuna SARSCOV 2 inactivada",867389,718358
"02","CABA","Sputnik V COVID19 Instituto Gamaleya",892370,575241
"10","Catamarca","AstraZeneca ChAdOx1 S recombinante",85400,80693
"10","Catamarca","COVISHIELD ChAdOx1nCoV COVID 19",4753,4
"10","Catamarca","Cansino Ad5 nCoV",1095,0
"10","Catamarca","Moderna ARNm",7293,21986
"10","Catamarca","Pfizer BioNTech Comirnaty",27011,2423
"10","Catamarca","Sinopharm Vacuna SARSCOV 2 inactivada",153818,95062
"10","Catamarca","Sputnik V COVID19 Instituto Gamaleya",94968,66475
"22","Chaco","AstraZeneca ChAdOx1 S recombinante",228201,187085
"22","Chaco","COVISHIELD ChAdOx1nCoV COVID 19",15386,644
"22","Chaco","Cansino Ad5 nCoV",1773,0
"22","Chaco","Moderna ARNm",25644,53195
"22","Chaco","Pfizer BioNTech Comirnaty",31542,7512
"22","Chaco","Sinopharm Vacuna SARSCOV 2 inactivada",287327,172844
"22","Chaco","Sputnik V COVID19 Instituto Gamaleya",246223,147140
"26","Chubut","AstraZeneca ChAdOx1 S recombinante",125374,115830
"26","Chubut","COVISHIELD ChAdOx1nCoV COVID 19",11751,617
"26","Chubut","Cansino Ad5 nCoV",68,0
"26","Chubut","Moderna ARNm",18394,28292
"26","Chubut","Pfizer BioNTech Comirnaty",19033,9917
"26","Chubut","Sinopharm Vacuna SARSCOV 2 inactivada",137035,91937
"26","Chubut","Sputnik V COVID19 Instituto Gamaleya",133010,89092
"18","Corrientes","AstraZeneca ChAdOx1 S recombinante",181364,157842
"18","Corrientes","COVISHIELD ChAdOx1nCoV COVID 19",19715,404
"18","Corrientes","Cansino Ad5 nCoV",4304,0
"18","Corrientes","Moderna ARNm",25063,54033
"18","Corrientes","Pfizer BioNTech Comirnaty",49722,5998
"18","Corrientes","Sinopharm Vacuna SARSCOV 2 inactivada",335521,196563
"18","Corrientes","Sputnik V COVID19 Instituto Gamaleya",249624,142886
"14","Córdoba","AstraZeneca ChAdOx1 S recombinante",785412,768557
"14","Córdoba","COVISHIELD ChAdOx1nCoV COVID 19",44092,107
"14","Córdoba","Cansino Ad5 nCoV",15470,205
"14","Córdoba","Moderna ARNm",41404,247702
"14","Córdoba","Pfizer BioNTech Comirnaty",221940,84570
"14","Córdoba","Sinopharm Vacuna SARSCOV 2 inactivada",1108607,816803
"14","Córdoba","Sputnik V COVID19 Instituto Gamaleya",890744,571969
"30","Entre Ríos","AstraZeneca ChAdOx1 S recombinante",280231,248385
"30","Entre Ríos","COVISHIELD ChAdOx1nCoV COVID 19",17247,331
"30","Entre Ríos","Cansino Ad5 nCoV",6883,1
"30","Entre Ríos","Moderna ARNm",21159,74998
"30","Entre Ríos","Pfizer BioNTech Comirnaty",61220,11964
"30","Entre Ríos","Sinopharm Vacuna SARSCOV 2 inactivada",391131,258076
"30","Entre Ríos","Sputnik V COVID19 Instituto Gamaleya",309096,181893
"34","Formosa","AstraZeneca ChAdOx1 S recombinante",118038,141994
"34","Formosa","COVISHIELD ChAdOx1nCoV COVID 19",7358,6
"34","Formosa","Cansino Ad5 nCoV",814,0
"34","Formosa","Moderna ARNm",38902,4931
"34","Formosa","Pfizer BioNTech Comirnaty",18076,31795
"34","Formosa","Sinopharm Vacuna SARSCOV 2 inactivada",193848,148603
"34","Formosa","Sputnik V COVID19 Instituto Gamaleya",133766,79572
"38","Jujuy","AstraZeneca ChAdOx1 S recombinante",161122,139734
"38","Jujuy","COVISHIELD ChAdOx1nCoV COVID 19",13987,286
"38","Jujuy","Cansino Ad5 nCoV",61,0
"38","Jujuy","Moderna ARNm",21506,27693
"38","Jujuy","Pfizer BioNTech Comirnaty",29183,4033
"38","Jujuy","Sinopharm Vacuna SARSCOV 2 inactivada",220154,124299
"38","Jujuy","Sputnik V COVID19 Instituto Gamaleya",153399,115703
"42","La Pampa","AstraZeneca ChAdOx1 S recombinante",68059,74659
"42","La Pampa","COVISHIELD ChAdOx1nCoV COVID 19",4576,0
"42","La Pampa","Cansino Ad5 nCoV",2610,0
"42","La Pampa","Moderna ARNm",4862,24933
"42","La Pampa","Pfizer BioNTech Comirnaty",23134,14653
"42","La Pampa","Sinopharm Vacuna SARSCOV 2 inactivada",119285,100700
"42","La Pampa","Sputnik V COVID19 Instituto Gamaleya",87463,57022
"46","La Rioja","AstraZeneca ChAdOx1 S recombinante",77402,75198
"46","La Rioja","COVISHIELD ChAdOx1nCoV COVID 19",7212,111
"46","La Rioja","Cansino Ad5 nCoV",2271,0
"46","La Rioja","Moderna ARNm",9083,23464
"46","La Rioja","Pfizer BioNTech Comirnaty",23355,14101
"46","La Rioja","Sinopharm Vacuna SARSCOV 2 inactivada",125638,89979
"46","La Rioja","Sputnik V COVID19 Instituto Gamaleya",93092,62275
"50","Mendoza","AstraZeneca ChAdOx1 S recombinante",411343,373766
"50","Mendoza","COVISHIELD ChAdOx1nCoV COVID 19",25275,415
"50","Mendoza","Cansino Ad5 nCoV",4503,3
"50","Mendoza","Moderna ARNm",23593,128652
"50","Mendoza","Pfizer BioNTech Comirnaty",110063,54791
"50","Mendoza","Sinopharm Vacuna SARSCOV 2 inactivada",469465,300596
"50","Mendoza","Sputnik V COVID19 Instituto Gamaleya",460233,261624
"54","Misiones","AstraZeneca ChAdOx1 S recombinante",215622,214759
"54","Misiones","COVISHIELD ChAdOx1nCoV COVID 19",16717,791
"54","Misiones","Cansino Ad5 nCoV",3972,1
"54","Misiones","Moderna ARNm",39708,49672
"54","Misiones","Pfizer BioNTech Comirnaty",27610,5059
"54","Misiones","Sinopharm Vacuna SARSCOV 2 inactivada",246707,146197
"54","Misiones","Sputnik V COVID19 Instituto Gamaleya",238927,136028
"58","Neuquén","AstraZeneca ChAdOx1 S recombinante",137783,124847
"58","Neuquén","COVISHIELD ChAdOx1nCoV COVID 19",12772,59
"58","Neuquén","Cansino Ad5 nCoV",4510,0
"58","Neuquén","Moderna ARNm",11483,37061
"58","Neuquén","Pfizer BioNTech Comirnaty",29775,7205
"58","Neuquén","Sinopharm Vacuna SARSCOV 2 inactivada",188825,130464
"58","Neuquén","Sputnik V COVID19 Instituto Gamaleya",160127,100695
"62","Río Negro","AstraZeneca ChAdOx1 S recombinante",143343,145512
"62","Río Negro","COVISHIELD ChAdOx1nCoV COVID 19",13967,89
"62","Río Negro","Cansino Ad5 nCoV",2062,1
"62","Río Negro","Moderna ARNm",8799,46122
"62","Río Negro","Pfizer BioNTech Comirnaty",43220,17653
"62","Río Negro","Sinopharm Vacuna SARSCOV 2 inactivada",245753,173249
"62","Río Negro","Sputnik V COVID19 Instituto Gamaleya",171807,103422
"66","Salta","AstraZeneca ChAdOx1 S recombinante",304253,251654
"66","Salta","COVISHIELD ChAdOx1nCoV COVID 19",17852,53
"66","Salta","Cansino Ad5 nCoV",846,1
"66","Salta","Moderna ARNm",24998,70150
"66","Salta","Pfizer BioNTech Comirnaty",58283,14736
